,Name,usage_weighed,raw_unweighed,usage_unweighed,raw_real,usage_real,elo
108,Umbreon,1.00%,60397,1.56%,42360,1.43%,1500
109,Thundurus,0.98%,35221,0.91%,26926,0.91%,1500
110,Metagross,0.98%,54214,1.40%,41044,1.39%,1500
111,Nihilego,0.98%,41880,1.08%,31862,1.08%,1500
112,Arcanine,0.95%,52143,1.35%,40559,1.37%,1500
113,Quagsire,0.94%,39052,1.01%,28965,0.98%,1500
114,Tentacruel,0.93%,41311,1.07%,31919,1.08%,1500
115,Stakataka,0.93%,33156,0.86%,24864,0.84%,1500
116,Alakazam,0.92%,46297,1.20%,30664,1.03%,1500
117,Scolipede,0.90%,46122,1.19%,33445,1.13%,1500
118,AerodactylMega,0.88%,44242,1.15%,32499,1.10%,1500
119,Blissey,0.88%,43836,1.14%,32132,1.08%,1500
120,Milotic,0.85%,48324,1.25%,35816,1.21%,1500
121,Latias,0.82%,32302,0.84%,23215,0.78%,1500
122,Seismitoad,0.82%,26795,0.69%,23002,0.78%,1500
123,Uxie,0.78%,24617,0.64%,22952,0.77%,1500
124,AggronMega,0.78%,36078,0.93%,29774,1.00%,1500
125,Empoleon,0.76%,39813,1.03%,31540,1.06%,1500
126,Chandelure,0.75%,49325,1.28%,36003,1.22%,1500
127,Porygon2,0.75%,34743,0.90%,26905,0.91%,1500
128,SceptileMega,0.74%,43233,1.12%,31271,1.06%,1500
129,Starmie,0.74%,37771,0.98%,27822,0.94%,1500
130,Incineroar,0.73%,44858,1.16%,35582,1.20%,1500
131,Diggersby,0.72%,27974,0.72%,20911,0.71%,1500
132,Crobat,0.72%,43042,1.11%,31814,1.07%,1500
133,Azelf,0.72%,27096,0.70%,24421,0.82%,1500
134,Suicune,0.72%,30273,0.78%,22527,0.76%,1500
135,Klefki,0.71%,32218,0.83%,27332,0.92%,1500
136,Lucario,0.70%,45314,1.17%,32018,1.08%,1500
137,AltariaMega,0.69%,30637,0.79%,22394,0.76%,1500
138,Salazzle,0.67%,38511,1.00%,28403,0.96%,1500
139,Krookodile,0.66%,36797,0.95%,27730,0.94%,1500
140,Mandibuzz,0.64%,26364,0.68%,20244,0.68%,1500
141,Swampert,0.64%,29565,0.77%,24856,0.84%,1500
142,Whimsicott,0.63%,28768,0.75%,22411,0.76%,1500
143,SlowbroMega,0.63%,23275,0.60%,18259,0.62%,1500
144,Forretress,0.62%,32594,0.84%,28689,0.97%,1500
145,Bronzong,0.61%,25435,0.66%,22274,0.75%,1500
146,Jolteon,0.61%,39585,1.03%,30120,1.02%,1500
147,CameruptMega,0.61%,21026,0.54%,16820,0.57%,1500
148,RotomHeat,0.61%,28291,0.73%,23232,0.78%,1500
149,Kyurem,0.60%,17247,0.45%,12862,0.43%,1500
150,Sylveon,0.60%,35619,0.92%,24581,0.83%,1500
151,Golisopod,0.59%,31947,0.83%,24400,0.82%,1500
152,Mantine,0.56%,21871,0.57%,16800,0.57%,1500
153,Haxorus,0.56%,32105,0.83%,21617,0.73%,1500
154,Alomomola,0.56%,19887,0.52%,15838,0.53%,1500
155,Slurpuff,0.55%,26801,0.69%,19415,0.66%,1500
156,PidgeotMega,0.55%,27467,0.71%,20472,0.69%,1500
157,Smeargle,0.53%,27006,0.70%,24653,0.83%,1500
158,Feraligatr,0.51%,27043,0.70%,19269,0.65%,1500
159,Talonflame,0.51%,35193,0.91%,25609,0.86%,1500
160,Terrakion,0.50%,19009,0.49%,13624,0.46%,1500
161,Gardevoir,0.50%,33190,0.86%,22980,0.78%,1500
162,SharpedoMega,0.49%,21175,0.55%,15003,0.51%,1500
163,Donphan,0.48%,21871,0.57%,18350,0.62%,1500
164,Cofagrigus,0.48%,27112,0.70%,21287,0.72%,1500
165,Sceptile,0.48%,25618,0.66%,17946,0.61%,1500
166,Primarina,0.47%,24640,0.64%,18623,0.63%,1500
167,Shedinja,0.46%,19859,0.51%,13645,0.46%,1500
168,BlastoiseMega,0.44%,25467,0.66%,19510,0.66%,1500
169,LycanrocDusk,0.43%,26554,0.69%,19233,0.65%,1500
170,HoundoomMega,0.43%,21572,0.56%,15297,0.52%,1500
171,Zoroark,0.43%,28070,0.73%,13177,0.45%,1500
172,Politoed,0.42%,21098,0.55%,17688,0.60%,1500
173,Machamp,0.41%,23986,0.62%,18330,0.62%,1500
174,Linoone,0.41%,25302,0.66%,18141,0.61%,1500
175,Pyukumuku,0.39%,16544,0.43%,12019,0.41%,1500
176,Vaporeon,0.39%,24088,0.62%,17941,0.61%,1500
177,Roserade,0.39%,24518,0.64%,18063,0.61%,1500
178,AbsolMega,0.38%,21261,0.55%,16146,0.55%,1500
179,GolemAlola,0.38%,16167,0.42%,12506,0.42%,1500
180,Rhyperior,0.37%,18178,0.47%,13773,0.47%,1500
181,Noivern,0.37%,24013,0.62%,17386,0.59%,1500
182,Malamar,0.36%,22249,0.58%,16085,0.54%,1500
183,Aerodactyl,0.36%,16719,0.43%,14297,0.48%,1500
184,RaichuAlola,0.35%,17879,0.46%,12643,0.43%,1500
185,Doublade,0.35%,17054,0.44%,12785,0.43%,1500
186,PersianAlola,0.35%,19479,0.50%,16101,0.54%,1500
187,Dusknoir,0.35%,21303,0.55%,16125,0.54%,1500
188,Toxicroak,0.35%,19706,0.51%,14231,0.48%,1500
189,Zygarde10%,0.34%,13217,0.34%,9811,0.33%,1500
190,Mienshao,0.34%,18074,0.47%,13706,0.46%,1500
191,BanetteMega,0.34%,17080,0.44%,12905,0.44%,1500
192,Electivire,0.34%,23866,0.62%,17936,0.61%,1500
193,Registeel,0.33%,14520,0.38%,12049,0.41%,1500
194,Ninetales,0.33%,21417,0.55%,16892,0.57%,1500
195,Entei,0.33%,13683,0.35%,10501,0.35%,1500
196,Ludicolo,0.32%,18465,0.48%,13387,0.45%,1500
197,Necrozma,0.31%,12615,0.33%,9687,0.33%,1500
198,Minior,0.30%,15925,0.41%,11226,0.38%,1500
199,Kabutops,0.30%,13110,0.34%,9424,0.32%,1500
200,Florges,0.29%,17431,0.45%,12291,0.42%,1500
201,Xatu,0.29%,14923,0.39%,11962,0.40%,1500
202,Chesnaught,0.29%,14657,0.38%,10950,0.37%,1500
203,Celebi,0.29%,13216,0.34%,9945,0.34%,1500
204,Swellow,0.28%,18912,0.49%,13445,0.45%,1500
205,Pikachu,0.28%,20617,0.53%,15096,0.51%,1500
206,GlalieMega,0.28%,12087,0.31%,9010,0.30%,1500
207,Heracross,0.27%,15360,0.40%,10669,0.36%,1500
208,Hitmonlee,0.27%,15562,0.40%,10719,0.36%,1500
209,Raikou,0.27%,14000,0.36%,10339,0.35%,1500
210,Decidueye,0.27%,18851,0.49%,13926,0.47%,1500
211,AbomasnowMega,0.27%,11950,0.31%,9198,0.31%,1500
212,Typhlosion,0.27%,18261,0.47%,13555,0.46%,1500
213,Meowstic,0.26%,14251,0.37%,11635,0.39%,1500
214,Flygon,0.26%,18527,0.48%,13780,0.47%,1500
215,Meloetta,0.26%,11661,0.30%,7935,0.27%,1500
216,Heliolisk,0.26%,15709,0.41%,11008,0.37%,1500
217,Moltres,0.26%,12049,0.31%,9186,0.31%,1500
218,SteelixMega,0.25%,13910,0.36%,11012,0.37%,1500
219,Honchkrow,0.25%,14176,0.37%,10118,0.34%,1500
220,Claydol,0.25%,13789,0.36%,11204,0.38%,1500
221,Slowking,0.24%,12023,0.31%,9300,0.31%,1500
222,Scrafty,0.24%,15623,0.40%,11428,0.39%,1500
223,Blastoise,0.24%,15103,0.39%,11364,0.38%,1500
224,AmpharosMega,0.24%,12863,0.33%,9364,0.32%,1500
225,Ambipom,0.23%,18470,0.48%,14286,0.48%,1500
226,Eelektross,0.23%,16981,0.44%,13299,0.45%,1500
227,Yanmega,0.23%,12968,0.34%,9591,0.32%,1500
228,Weezing,0.23%,13973,0.36%,11350,0.38%,1500
229,Tyrantrum,0.23%,14233,0.37%,9990,0.34%,1500
230,Tsareena,0.23%,12880,0.33%,9361,0.32%,1500
231,Comfey,0.23%,12438,0.32%,8779,0.30%,1500
232,Drapion,0.22%,17211,0.45%,12677,0.43%,1500
233,Lapras,0.21%,15225,0.39%,11377,0.38%,1500
234,Slaking,0.21%,13318,0.35%,10014,0.34%,1500
235,Dusclops,0.21%,12994,0.34%,10274,0.35%,1500
236,Vikavolt,0.21%,13030,0.34%,9395,0.32%,1500
237,Accelgor,0.21%,11664,0.30%,9313,0.31%,1500
238,Sigilyph,0.21%,14851,0.38%,10350,0.35%,1500
239,Avalugg,0.20%,9977,0.26%,7247,0.24%,1500
240,Druddigon,0.20%,9407,0.24%,8141,0.28%,1500
241,Froslass,0.19%,13958,0.36%,11024,0.37%,1500
242,Togedemaru,0.19%,9785,0.25%,7787,0.26%,1500
243,Cinccino,0.19%,13037,0.34%,9356,0.32%,1500
244,Omastar,0.18%,9678,0.25%,7187,0.24%,1500
245,SandslashAlola,0.18%,9729,0.25%,7189,0.24%,1500
246,Cradily,0.18%,12757,0.33%,9781,0.33%,1500
247,Sableye,0.18%,11131,0.29%,8712,0.29%,1500
248,Hitmontop,0.18%,9879,0.26%,7731,0.26%,1500
249,Nidoqueen,0.18%,9946,0.26%,8058,0.27%,1500
250,Trevenant,0.17%,13400,0.35%,9939,0.34%,1500
251,Victreebel,0.17%,8037,0.21%,5612,0.19%,1500
252,Rampardos,0.17%,9502,0.25%,6739,0.23%,1500
253,Torterra,0.17%,12803,0.33%,9803,0.33%,1500
254,Lycanroc,0.17%,8712,0.23%,6214,0.21%,1500
255,Dragalge,0.16%,10021,0.26%,7319,0.25%,1500
256,Gigalith,0.16%,10585,0.27%,8958,0.30%,1500
257,Charizard,0.16%,12075,0.31%,9045,0.31%,1500
258,Jellicent,0.15%,10460,0.27%,7776,0.26%,1500
259,Aggron,0.15%,12371,0.32%,9370,0.32%,1500
260,Dhelmise,0.15%,8316,0.22%,6238,0.21%,1500
261,Tornadus,0.15%,5325,0.14%,3897,0.13%,1500
262,RotomMow,0.15%,7610,0.20%,6133,0.21%,1500
263,Cobalion,0.14%,7896,0.20%,6174,0.21%,1500
264,Diancie,0.14%,6429,0.17%,5117,0.17%,1500
265,Delphox,0.14%,9748,0.25%,7229,0.24%,1500
266,Vivillon,0.14%,8158,0.21%,5956,0.20%,1500
267,Mudsdale,0.14%,9294,0.24%,7541,0.25%,1500
268,Lanturn,0.13%,8127,0.21%,6351,0.21%,1500
269,Sharpedo,0.13%,8173,0.21%,5915,0.20%,1500
270,Luxray,0.13%,10554,0.27%,7635,0.26%,1500
271,ExeggutorAlola,0.13%,7737,0.20%,5587,0.19%,1500
272,Bewear,0.13%,7888,0.20%,5610,0.19%,1500
273,Electrode,0.13%,7705,0.20%,6518,0.22%,1500
274,Braviary,0.13%,7934,0.21%,5693,0.19%,1500
275,Stoutland,0.12%,6560,0.17%,4722,0.16%,1500
276,Poliwrath,0.12%,7391,0.19%,5380,0.18%,1500
277,Magneton,0.12%,6888,0.18%,5321,0.18%,1500
278,Miltank,0.12%,8991,0.23%,6626,0.22%,1500
279,Ursaring,0.12%,7876,0.20%,5966,0.20%,1500
280,Durant,0.12%,8350,0.22%,6132,0.21%,1500
281,Drampa,0.12%,5905,0.15%,4275,0.14%,1500
282,Venomoth,0.12%,6492,0.17%,4479,0.15%,1500
283,Regice,0.12%,7478,0.19%,5472,0.19%,1500
284,Steelix,0.12%,8010,0.21%,6540,0.22%,1500
285,Vileplume,0.12%,8481,0.22%,6253,0.21%,1500
286,Lurantis,0.12%,8695,0.23%,6348,0.21%,1500
287,Audino,0.12%,5947,0.15%,4378,0.15%,1500
288,Exeggutor,0.12%,7322,0.19%,5390,0.18%,1500
289,Spiritomb,0.12%,7991,0.21%,5932,0.20%,1500
290,Komala,0.11%,6854,0.18%,4944,0.17%,1500
291,Leafeon,0.11%,8105,0.21%,5854,0.20%,1500
292,Silvally,0.11%,5592,0.15%,4568,0.15%,1500
293,Emboar,0.11%,8669,0.22%,6480,0.22%,1500
294,Mismagius,0.11%,8754,0.23%,6361,0.22%,1500
295,Liepard,0.11%,7940,0.21%,6010,0.20%,1500
296,Tauros,0.11%,7592,0.20%,5529,0.19%,1500
297,Hoopa,0.11%,4139,0.11%,2912,0.10%,1500
298,Shaymin,0.11%,4772,0.12%,3617,0.12%,1500
299,Archeops,0.10%,6587,0.17%,5139,0.17%,1500
300,Exploud,0.10%,5593,0.15%,4267,0.14%,1500
301,Zangoose,0.10%,7589,0.20%,5325,0.18%,1500
302,Barbaracle,0.10%,5413,0.14%,3838,0.13%,1500
303,LycanrocMidnight,0.10%,8124,0.21%,5714,0.19%,1500
304,Masquerain,0.10%,5591,0.15%,4710,0.16%,1500
305,Raichu,0.10%,8333,0.22%,6023,0.20%,1500
306,Beartic,0.10%,4990,0.13%,3502,0.12%,1500
307,Qwilfish,0.10%,5046,0.13%,3712,0.13%,1500
308,Magmortar,0.10%,7631,0.20%,5576,0.19%,1500
309,Jumpluff,0.09%,4787,0.12%,3542,0.12%,1500
310,Ninjask,0.09%,7643,0.20%,5626,0.19%,1500
311,Sawsbuck,0.09%,4911,0.13%,3404,0.12%,1500
312,Golem,0.09%,6533,0.17%,5375,0.18%,1500
313,AudinoMega,0.09%,5070,0.13%,3653,0.12%,1500
314,Rhydon,0.09%,5983,0.16%,4594,0.16%,1500
315,Escavalier,0.09%,6497,0.17%,4793,0.16%,1500
316,Hitmonchan,0.09%,6441,0.17%,4843,0.16%,1500
317,Golurk,0.09%,7483,0.19%,5842,0.20%,1500
318,Crabominable,0.09%,4397,0.11%,3100,0.11%,1500
319,Flareon,0.09%,6542,0.17%,4908,0.17%,1500
320,Gligar,0.09%,5072,0.13%,4070,0.14%,1500
321,Primeape,0.09%,5636,0.15%,4157,0.14%,1500
322,Palossand,0.09%,5554,0.14%,4292,0.15%,1500
323,Emolga,0.09%,5400,0.14%,4413,0.15%,1500
324,Samurott,0.09%,6559,0.17%,4913,0.17%,1500
325,Articuno,0.08%,6405,0.17%,4601,0.16%,1500
326,Guzzlord,0.08%,4599,0.12%,3268,0.11%,1500
327,Klinklang,0.08%,4383,0.11%,3179,0.11%,1500
328,Virizion,0.08%,4370,0.11%,3221,0.11%,1500
329,Pangoro,0.08%,5631,0.15%,4127,0.14%,1500
330,Shiftry,0.08%,4188,0.11%,3079,0.10%,1500
331,Scyther,0.08%,6824,0.18%,4868,0.16%,1500
332,Kecleon,0.08%,5988,0.16%,4565,0.15%,1500
333,Medicham,0.08%,4411,0.11%,3242,0.11%,1500
334,Swoobat,0.08%,4725,0.12%,3338,0.11%,1500
335,Leavanny,0.08%,4980,0.13%,4045,0.14%,1500
336,Lilligant,0.08%,5722,0.15%,3925,0.13%,1500
337,Zebstrika,0.07%,3805,0.10%,2825,0.10%,1500
338,Sawk,0.07%,4912,0.13%,3498,0.12%,1500
339,Mesprit,0.07%,3130,0.08%,2603,0.09%,1500
340,Crustle,0.07%,4670,0.12%,3618,0.12%,1500
341,Cryogonal,0.07%,4844,0.13%,3658,0.12%,1500
342,Aurorus,0.07%,5364,0.14%,3899,0.13%,1500
343,Drifblim,0.07%,6556,0.17%,4458,0.15%,1500
344,Gumshoos,0.07%,3168,0.08%,2330,0.08%,1500
345,Clawitzer,0.07%,5594,0.15%,4192,0.14%,1500
346,Kingler,0.07%,4956,0.13%,3571,0.12%,1500
347,Carracosta,0.07%,5069,0.13%,3831,0.13%,1500
348,Golduck,0.07%,4787,0.12%,3509,0.12%,1500
349,Aron,0.07%,4128,0.11%,3009,0.10%,1500
350,Abomasnow,0.06%,3579,0.09%,2908,0.10%,1500
351,Turtonator,0.06%,5067,0.13%,3735,0.13%,1500
352,Vanilluxe,0.06%,3977,0.10%,2942,0.10%,1500
353,Regigigas,0.06%,4120,0.11%,3160,0.11%,1500
354,Jynx,0.06%,3903,0.10%,2843,0.10%,1500
355,Cacturne,0.06%,4388,0.11%,3222,0.11%,1500
356,DugtrioAlola,0.06%,3759,0.10%,2985,0.10%,1500
357,Dodrio,0.06%,4117,0.11%,2893,0.10%,1500
358,Absol,0.06%,4468,0.12%,3228,0.11%,1500
359,Regirock,0.06%,4518,0.12%,3550,0.12%,1500
360,Stunfisk,0.06%,3808,0.10%,3089,0.10%,1500
361,Murkrow,0.06%,4107,0.11%,2873,0.10%,1500
362,Bibarel,0.06%,3153,0.08%,2295,0.08%,1500
363,Gallade,0.06%,5377,0.14%,3746,0.13%,1500
364,Floatzel,0.06%,4593,0.12%,3389,0.11%,1500
365,Glaceon,0.06%,5000,0.13%,3528,0.12%,1500
366,Shiinotic,0.06%,3693,0.10%,2722,0.09%,1500
367,Hariyama,0.06%,4486,0.12%,3434,0.12%,1500
368,Rapidash,0.06%,4416,0.11%,3254,0.11%,1500
369,Dugtrio,0.06%,4309,0.11%,3258,0.11%,1500
370,Armaldo,0.06%,4169,0.11%,3031,0.10%,1500
371,Houndoom,0.05%,4760,0.12%,3424,0.12%,1500
372,Bouffalant,0.05%,4684,0.12%,3259,0.11%,1500
373,Chatot,0.05%,4117,0.11%,3188,0.11%,1500
374,Farfetch'd,0.05%,3692,0.10%,2623,0.09%,1500
375,GourgeistSuper,0.05%,3411,0.09%,2647,0.09%,1500
376,Sandslash,0.05%,3201,0.08%,2417,0.08%,1500
377,Toucannon,0.05%,3581,0.09%,2579,0.09%,1500
378,Arbok,0.05%,4311,0.11%,3162,0.11%,1500
379,Ariados,0.05%,4522,0.12%,3841,0.13%,1500
380,Tangela,0.05%,2934,0.08%,2264,0.08%,1500
381,MimikyuTotem,0.05%,1401,0.04%,907,0.03%,1500
382,Pyroar,0.05%,4002,0.10%,2916,0.10%,1500
383,Granbull,0.05%,3424,0.09%,2628,0.09%,1500
384,Bastiodon,0.05%,3855,0.10%,3177,0.11%,1500
385,Passimian,0.05%,3232,0.08%,2348,0.08%,1500
386,Piloswine,0.05%,2312,0.06%,1900,0.06%,1500
387,Butterfree,0.05%,3840,0.10%,2847,0.10%,1500
388,Skuntank,0.05%,2960,0.08%,2098,0.07%,1500
389,Gorebyss,0.05%,2228,0.06%,1535,0.05%,1500
390,Carbink,0.05%,3160,0.08%,2736,0.09%,1500
391,Type:Null,0.05%,2368,0.06%,1755,0.06%,1500
392,Ampharos,0.04%,4239,0.11%,3127,0.11%,1500
393,Meganium,0.04%,3850,0.10%,2820,0.10%,1500
394,Walrein,0.04%,4015,0.10%,2927,0.10%,1500
395,Bruxish,0.04%,2651,0.07%,1885,0.06%,1500
396,Sunflora,0.04%,2535,0.07%,1924,0.07%,1500
397,Gogoat,0.04%,3469,0.09%,2457,0.08%,1500
398,Wishiwashi,0.04%,2536,0.07%,1878,0.06%,1500
399,Tropius,0.04%,2936,0.08%,2160,0.07%,1500
400,SilvallySteel,0.04%,2543,0.07%,1920,0.07%,1500
401,Musharna,0.04%,2743,0.07%,1957,0.07%,1500
402,Wailord,0.04%,3123,0.08%,2238,0.08%,1500
403,Probopass,0.04%,3224,0.08%,2548,0.09%,1500
404,Wobbuffet,0.04%,3907,0.10%,2885,0.10%,1500
405,Rotom,0.04%,2006,0.05%,1586,0.05%,1500
406,Mr.Mime,0.04%,3650,0.09%,2670,0.09%,1500
407,RotomFrost,0.04%,2549,0.07%,1861,0.06%,1500
408,Bellossom,0.04%,2504,0.07%,1729,0.06%,1500
409,Lopunny,0.04%,2596,0.07%,1956,0.07%,1500
410,Wigglytuff,0.04%,2652,0.07%,2002,0.07%,1500
411,Noctowl,0.04%,2915,0.08%,2164,0.07%,1500
412,Seaking,0.04%,2109,0.06%,1586,0.05%,1500
413,Dedenne,0.04%,2652,0.07%,1921,0.07%,1500
414,Manectric,0.03%,3096,0.08%,2299,0.08%,1500
415,Garbodor,0.03%,2820,0.07%,2191,0.07%,1500
416,Purugly,0.03%,1994,0.05%,1421,0.05%,1500
417,SilvallyGhost,0.03%,1367,0.04%,1052,0.04%,1500
418,Marowak,0.03%,2916,0.08%,2246,0.08%,1500
419,Golbat,0.03%,2124,0.06%,1589,0.05%,1500
420,Lickilicky,0.03%,2599,0.07%,1961,0.07%,1500
421,Furret,0.03%,2432,0.06%,1810,0.06%,1500
422,SilvallyGround,0.03%,1178,0.03%,942,0.03%,1500
423,Whiscash,0.03%,2001,0.05%,1457,0.05%,1500
424,Combusken,0.03%,1894,0.05%,1423,0.05%,1500
425,Magcargo,0.03%,2344,0.06%,1800,0.06%,1500
426,Illumise,0.03%,1373,0.04%,1056,0.04%,1500
427,Furfrou,0.03%,2430,0.06%,1728,0.06%,1500
428,Kangaskhan,0.03%,1958,0.05%,1474,0.05%,1500
429,Raticate,0.03%,2434,0.06%,1695,0.06%,1500
430,Muk,0.03%,2778,0.07%,2064,0.07%,1500
431,Maractus,0.03%,2015,0.05%,1500,0.05%,1500
432,Seviper,0.03%,2262,0.06%,1613,0.05%,1500
433,Haunter,0.03%,2403,0.06%,1780,0.06%,1500
