,Name,usage_weighed,raw_unweighed,usage_unweighed,raw_real,usage_real,elo
37,Jirachi,5.28%,171678,4.44%,131857,4.45%,1695
38,CharizardMegaX,5.16%,260480,6.74%,192870,6.51%,1695
39,AlakazamMega,5.05%,229775,5.95%,153357,5.17%,1695
40,Blacephalon,5.00%,177567,4.60%,128421,4.33%,1695
41,DiancieMega,4.87%,151108,3.91%,121282,4.09%,1695
42,Tyranitar,4.57%,228326,5.91%,178405,6.02%,1695
43,LatiasMega,4.52%,57671,1.49%,42872,1.45%,1695
44,Keldeo,4.41%,115283,2.98%,87808,2.96%,1695
45,TyranitarMega,4.10%,150489,3.90%,115036,3.88%,1695
46,GyaradosMega,3.94%,134560,3.48%,101601,3.43%,1695
47,SableyeMega,3.76%,110892,2.87%,96853,3.27%,1695
48,CharizardMegaY,3.75%,199204,5.16%,155850,5.26%,1695
49,Azumarill,3.67%,183019,4.74%,136914,4.62%,1695
50,Manaphy,3.41%,64250,1.66%,46298,1.56%,1695
51,PinsirMega,3.22%,83841,2.17%,58615,1.98%,1695
52,Mimikyu,3.02%,133371,3.45%,93700,3.16%,1695
53,Dragonite,2.99%,163384,4.23%,117514,3.96%,1695
54,Mew,2.97%,128909,3.34%,100323,3.38%,1695
55,HoopaUnbound,2.96%,67231,1.74%,47117,1.59%,1695
56,Ditto,2.93%,71853,1.86%,52569,1.77%,1695
57,Weavile,2.81%,131549,3.41%,96651,3.26%,1695
58,VenusaurMega,2.56%,136527,3.53%,105994,3.58%,1695
59,Reuniclus,2.54%,52241,1.35%,37522,1.27%,1695
60,Bisharp,2.52%,89810,2.33%,63855,2.15%,1695
61,Gyarados,2.18%,101953,2.64%,77643,2.62%,1695
62,Crawdaunt,2.13%,47764,1.24%,35169,1.19%,1695
63,Gastrodon,2.09%,64937,1.68%,51904,1.75%,1695
64,Cresselia,2.06%,57177,1.48%,44165,1.49%,1695
65,MarowakAlola,1.92%,62593,1.62%,47850,1.61%,1695
66,Kingdra,1.88%,62245,1.61%,44434,1.50%,1695
67,Ribombee,1.78%,48914,1.27%,42708,1.44%,1695
68,LatiosMega,1.76%,40756,1.06%,30382,1.03%,1695
69,Hydreigon,1.74%,76009,1.97%,56502,1.91%,1695
70,ThundurusTherian,1.72%,66187,1.71%,51764,1.75%,1695
71,Slowbro,1.67%,38183,0.99%,29731,1.00%,1695
72,Mamoswine,1.63%,70291,1.82%,57466,1.94%,1695
73,Hippowdon,1.61%,47210,1.22%,40798,1.38%,1695
74,Salamence,1.49%,78163,2.02%,56070,1.89%,1695
75,Torkoal,1.42%,57840,1.50%,52970,1.79%,1695
76,GarchompMega,1.42%,69808,1.81%,51980,1.75%,1695
77,Breloom,1.39%,95170,2.46%,71086,2.40%,1695
78,Seismitoad,1.36%,26795,0.69%,23002,0.78%,1695
79,MukAlola,1.35%,76058,1.97%,58418,1.97%,1695
80,Amoonguss,1.34%,43024,1.11%,32530,1.10%,1695
81,HeracrossMega,1.34%,48642,1.26%,34864,1.18%,1695
82,Latios,1.31%,68586,1.78%,49457,1.67%,1695
83,ManectricMega,1.26%,63130,1.63%,50983,1.72%,1695
84,Zeraora,1.19%,79469,2.06%,59556,2.01%,1695
85,Araquanid,1.18%,57638,1.49%,49058,1.66%,1695
86,Buzzwole,1.17%,52895,1.37%,39310,1.33%,1695
87,Venusaur,1.17%,54903,1.42%,41403,1.40%,1695
88,Gengar,1.15%,107368,2.78%,74950,2.53%,1695
89,Kyurem,1.12%,17247,0.45%,12862,0.43%,1695
90,Quagsire,1.12%,39052,1.01%,28965,0.98%,1695
91,GalladeMega,1.10%,71681,1.86%,50777,1.71%,1695
92,PorygonZ,1.09%,67993,1.76%,46934,1.58%,1695
93,Thundurus,1.08%,35221,0.91%,26926,0.91%,1695
94,Shedinja,1.07%,19859,0.51%,13645,0.46%,1695
95,Cloyster,1.05%,80023,2.07%,59901,2.02%,1695
96,Alomomola,0.98%,19887,0.52%,15838,0.53%,1695
97,Conkeldurr,0.97%,63072,1.63%,47906,1.62%,1695
98,Stakataka,0.95%,33156,0.86%,24864,0.84%,1695
99,Shuckle,0.92%,57760,1.50%,51063,1.72%,1695
100,Nidoking,0.88%,56943,1.47%,44234,1.49%,1695
101,BeedrillMega,0.86%,88554,2.29%,67457,2.28%,1695
102,Uxie,0.86%,24617,0.64%,22952,0.77%,1695
103,Diggersby,0.83%,27974,0.72%,20911,0.71%,1695
104,Scizor,0.82%,69412,1.80%,52435,1.77%,1695
105,NinetalesAlola,0.82%,76738,1.99%,61143,2.06%,1695
106,SlowbroMega,0.77%,23275,0.60%,18259,0.62%,1695
107,GardevoirMega,0.75%,63504,1.64%,42880,1.45%,1695
108,Azelf,0.72%,27096,0.70%,24421,0.82%,1695
109,Suicune,0.67%,30273,0.78%,22527,0.76%,1695
110,Infernape,0.66%,88958,2.30%,67840,2.29%,1695
111,Staraptor,0.63%,65549,1.70%,49276,1.66%,1695
112,Xurkitree,0.63%,53268,1.38%,38910,1.31%,1695
113,Volcanion,0.62%,46222,1.20%,36462,1.23%,1695
114,Terrakion,0.62%,19009,0.49%,13624,0.46%,1695
115,Snorlax,0.58%,71200,1.84%,52316,1.77%,1695
116,Blissey,0.56%,43836,1.14%,32132,1.08%,1695
117,Scolipede,0.55%,46122,1.19%,33445,1.13%,1695
118,AerodactylMega,0.55%,44242,1.15%,32499,1.10%,1695
119,Krookodile,0.55%,36797,0.95%,27730,0.94%,1695
120,Bronzong,0.54%,25435,0.66%,22274,0.75%,1695
121,Togekiss,0.53%,66910,1.73%,48367,1.63%,1695
122,Mantine,0.53%,21871,0.57%,16800,0.57%,1695
123,Mandibuzz,0.52%,26364,0.68%,20244,0.68%,1695
124,Nihilego,0.52%,41880,1.08%,31862,1.08%,1695
125,Metagross,0.52%,54214,1.40%,41044,1.39%,1695
126,CameruptMega,0.52%,21026,0.54%,16820,0.57%,1695
127,Latias,0.51%,32302,0.84%,23215,0.78%,1695
128,AggronMega,0.51%,36078,0.93%,29774,1.00%,1695
129,AltariaMega,0.51%,30637,0.79%,22394,0.76%,1695
130,GolemAlola,0.48%,16167,0.42%,12506,0.42%,1695
131,Alakazam,0.46%,46297,1.20%,30664,1.03%,1695
132,Swampert,0.44%,29565,0.77%,24856,0.84%,1695
133,Whimsicott,0.44%,28768,0.75%,22411,0.76%,1695
134,Klefki,0.43%,32218,0.83%,27332,0.92%,1695
135,Tentacruel,0.41%,41311,1.07%,31919,1.08%,1695
136,SharpedoMega,0.40%,21175,0.55%,15003,0.51%,1695
137,Porygon2,0.40%,34743,0.90%,26905,0.91%,1695
138,Empoleon,0.38%,39813,1.03%,31540,1.06%,1695
139,Registeel,0.38%,14520,0.38%,12049,0.41%,1695
140,Necrozma,0.37%,12615,0.33%,9687,0.33%,1695
141,Starmie,0.36%,37771,0.98%,27822,0.94%,1695
142,Darmanitan,0.36%,50868,1.32%,38911,1.31%,1695
143,Galvantula,0.35%,54405,1.41%,47162,1.59%,1695
144,Aerodactyl,0.35%,16719,0.43%,14297,0.48%,1695
145,Lucario,0.34%,45314,1.17%,32018,1.08%,1695
146,Umbreon,0.33%,60397,1.56%,42360,1.43%,1695
147,Meloetta,0.32%,11661,0.30%,7935,0.27%,1695
148,Avalugg,0.31%,9977,0.26%,7247,0.24%,1695
149,Primarina,0.31%,24640,0.64%,18623,0.63%,1695
150,Donphan,0.30%,21871,0.57%,18350,0.62%,1695
151,Celebi,0.30%,13216,0.34%,9945,0.34%,1695
152,Pyukumuku,0.30%,16544,0.43%,12019,0.41%,1695
153,Salazzle,0.29%,38511,1.00%,28403,0.96%,1695
154,Goodra,0.27%,52740,1.37%,39537,1.33%,1695
155,Zygarde10%,0.26%,13217,0.34%,9811,0.33%,1695
156,Politoed,0.25%,21098,0.55%,17688,0.60%,1695
157,PidgeotMega,0.25%,27467,0.71%,20472,0.69%,1695
158,Vaporeon,0.25%,24088,0.62%,17941,0.61%,1695
159,Omastar,0.25%,9678,0.25%,7187,0.24%,1695
160,Crobat,0.25%,43042,1.11%,31814,1.07%,1695
161,Espeon,0.24%,60976,1.58%,45794,1.55%,1695
162,Kabutops,0.24%,13110,0.34%,9424,0.32%,1695
163,SceptileMega,0.24%,43233,1.12%,31271,1.06%,1695
164,MimikyuTotem,0.23%,1401,0.04%,907,0.03%,1695
165,Entei,0.22%,13683,0.35%,10501,0.35%,1695
166,Haxorus,0.22%,32105,0.83%,21617,0.73%,1695
167,Moltres,0.22%,12049,0.31%,9186,0.31%,1695
168,Slurpuff,0.21%,26801,0.69%,19415,0.66%,1695
169,Smeargle,0.21%,27006,0.70%,24653,0.83%,1695
170,Arcanine,0.21%,52143,1.35%,40559,1.37%,1695
171,SteelixMega,0.20%,13910,0.36%,11012,0.37%,1695
172,Golisopod,0.20%,31947,0.83%,24400,0.82%,1695
173,Talonflame,0.20%,35193,0.91%,25609,0.86%,1695
174,Cofagrigus,0.19%,27112,0.70%,21287,0.72%,1695
175,Raikou,0.19%,14000,0.36%,10339,0.35%,1695
176,Nidoqueen,0.19%,9946,0.26%,8058,0.27%,1695
177,Diancie,0.18%,6429,0.17%,5117,0.17%,1695
178,Chesnaught,0.18%,14657,0.38%,10950,0.37%,1695
179,Forretress,0.18%,32594,0.84%,28689,0.97%,1695
180,Tornadus,0.17%,5325,0.14%,3897,0.13%,1695
181,Milotic,0.17%,48324,1.25%,35816,1.21%,1695
182,RotomHeat,0.17%,28291,0.73%,23232,0.78%,1695
183,BanetteMega,0.16%,17080,0.44%,12905,0.44%,1695
184,Incineroar,0.16%,44858,1.16%,35582,1.20%,1695
185,Rhyperior,0.16%,18178,0.47%,13773,0.47%,1695
186,Comfey,0.16%,12438,0.32%,8779,0.30%,1695
187,Tyrantrum,0.16%,14233,0.37%,9990,0.34%,1695
188,Hoopa,0.16%,4139,0.11%,2912,0.10%,1695
189,BlastoiseMega,0.15%,25467,0.66%,19510,0.66%,1695
190,RaichuAlola,0.15%,17879,0.46%,12643,0.43%,1695
191,GlalieMega,0.15%,12087,0.31%,9010,0.30%,1695
192,AbsolMega,0.14%,21261,0.55%,16146,0.55%,1695
193,Meowstic,0.14%,14251,0.37%,11635,0.39%,1695
194,Druddigon,0.14%,9407,0.24%,8141,0.28%,1695
195,Ursaring,0.14%,7876,0.20%,5966,0.20%,1695
196,Chandelure,0.14%,49325,1.28%,36003,1.22%,1695
197,Doublade,0.13%,17054,0.44%,12785,0.43%,1695
198,Mesprit,0.13%,3130,0.08%,2603,0.09%,1695
199,Sceptile,0.13%,25618,0.66%,17946,0.61%,1695
200,HoundoomMega,0.12%,21572,0.56%,15297,0.52%,1695
201,AbomasnowMega,0.12%,11950,0.31%,9198,0.31%,1695
202,Xatu,0.12%,14923,0.39%,11962,0.40%,1695
203,LycanrocDusk,0.12%,26554,0.69%,19233,0.65%,1695
204,Tsareena,0.12%,12880,0.33%,9361,0.32%,1695
205,Linoone,0.12%,25302,0.66%,18141,0.61%,1695
206,Roserade,0.12%,24518,0.64%,18063,0.61%,1695
207,Mienshao,0.11%,18074,0.47%,13706,0.46%,1695
208,Exploud,0.11%,5593,0.15%,4267,0.14%,1695
209,Sylveon,0.11%,35619,0.92%,24581,0.83%,1695
210,Minior,0.11%,15925,0.41%,11226,0.38%,1695
211,Crustle,0.10%,4670,0.12%,3618,0.12%,1695
212,Feraligatr,0.10%,27043,0.70%,19269,0.65%,1695
213,Machamp,0.10%,23986,0.62%,18330,0.62%,1695
214,Lapras,0.10%,15225,0.39%,11377,0.38%,1695
215,AmpharosMega,0.10%,12863,0.33%,9364,0.32%,1695
216,Zoroark,0.10%,28070,0.73%,13177,0.45%,1695
217,Cobalion,0.10%,7896,0.20%,6174,0.21%,1695
218,Toxicroak,0.09%,19706,0.51%,14231,0.48%,1695
219,Jolteon,0.09%,39585,1.03%,30120,1.02%,1695
220,Hitmonlee,0.09%,15562,0.40%,10719,0.36%,1695
221,Gardevoir,0.09%,33190,0.86%,22980,0.78%,1695
222,Decidueye,0.09%,18851,0.49%,13926,0.47%,1695
223,Slowking,0.09%,12023,0.31%,9300,0.31%,1695
224,Pikachu,0.09%,20617,0.53%,15096,0.51%,1695
225,Victreebel,0.08%,8037,0.21%,5612,0.19%,1695
226,Qwilfish,0.08%,5046,0.13%,3712,0.13%,1695
227,AudinoMega,0.08%,5070,0.13%,3653,0.12%,1695
228,Accelgor,0.08%,11664,0.30%,9313,0.31%,1695
229,Duosion,0.08%,460,0.01%,331,0.01%,1695
230,Swoobat,0.08%,4725,0.12%,3338,0.11%,1695
231,Typhlosion,0.08%,18261,0.47%,13555,0.46%,1695
232,Yanmega,0.08%,12968,0.34%,9591,0.32%,1695
233,Dhelmise,0.08%,8316,0.22%,6238,0.21%,1695
234,Lanturn,0.08%,8127,0.21%,6351,0.21%,1695
235,Togedemaru,0.07%,9785,0.25%,7787,0.26%,1695
236,Blastoise,0.07%,15103,0.39%,11364,0.38%,1695
237,Flygon,0.07%,18527,0.48%,13780,0.47%,1695
238,Claydol,0.07%,13789,0.36%,11204,0.38%,1695
239,Crabominable,0.07%,4397,0.11%,3100,0.11%,1695
240,Ninetales,0.07%,21417,0.55%,16892,0.57%,1695
241,Ludicolo,0.06%,18465,0.48%,13387,0.45%,1695
242,Wailord,0.06%,3123,0.08%,2238,0.08%,1695
243,Lycanroc,0.06%,8712,0.23%,6214,0.21%,1695
244,Shiftry,0.06%,4188,0.11%,3079,0.10%,1695
245,Venomoth,0.06%,6492,0.17%,4479,0.15%,1695
246,Heracross,0.06%,15360,0.40%,10669,0.36%,1695
247,Rampardos,0.06%,9502,0.25%,6739,0.23%,1695
248,Murkrow,0.06%,4107,0.11%,2873,0.10%,1695
249,PersianAlola,0.06%,19479,0.50%,16101,0.54%,1695
250,SandslashAlola,0.06%,9729,0.25%,7189,0.24%,1695
251,Magneton,0.06%,6888,0.18%,5321,0.18%,1695
252,Froslass,0.05%,13958,0.36%,11024,0.37%,1695
253,Florges,0.05%,17431,0.45%,12291,0.42%,1695
254,Gigalith,0.05%,10585,0.27%,8958,0.30%,1695
255,Jumpluff,0.05%,4787,0.12%,3542,0.12%,1695
256,Abomasnow,0.05%,3579,0.09%,2908,0.10%,1695
257,Sigilyph,0.05%,14851,0.38%,10350,0.35%,1695
258,Vikavolt,0.05%,13030,0.34%,9395,0.32%,1695
259,Dusknoir,0.05%,21303,0.55%,16125,0.54%,1695
260,Dragalge,0.05%,10021,0.26%,7319,0.25%,1695
261,Aggron,0.05%,12371,0.32%,9370,0.32%,1695
262,Barbaracle,0.04%,5413,0.14%,3838,0.13%,1695
263,Rotom,0.04%,2006,0.05%,1586,0.05%,1695
264,Malamar,0.04%,22249,0.58%,16085,0.54%,1695
265,ExeggutorAlola,0.04%,7737,0.20%,5587,0.19%,1695
266,Electivire,0.04%,23866,0.62%,17936,0.61%,1695
267,RotomMow,0.04%,7610,0.20%,6133,0.21%,1695
268,Noivern,0.04%,24013,0.62%,17386,0.59%,1695
269,Swellow,0.04%,18912,0.49%,13445,0.45%,1695
270,Weezing,0.04%,13973,0.36%,11350,0.38%,1695
271,Slaking,0.04%,13318,0.35%,10014,0.34%,1695
272,Honchkrow,0.04%,14176,0.37%,10118,0.34%,1695
273,Shaymin,0.04%,4772,0.12%,3617,0.12%,1695
274,Vivillon,0.04%,8158,0.21%,5956,0.20%,1695
275,Cradily,0.04%,12757,0.33%,9781,0.33%,1695
276,Torterra,0.04%,12803,0.33%,9803,0.33%,1695
277,Cinccino,0.04%,13037,0.34%,9356,0.32%,1695
278,Emboar,0.04%,8669,0.22%,6480,0.22%,1695
279,Heliolisk,0.04%,15709,0.41%,11008,0.37%,1695
280,Stunfisk,0.04%,3808,0.10%,3089,0.10%,1695
281,Tauros,0.04%,7592,0.20%,5529,0.19%,1695
282,Audino,0.04%,5947,0.15%,4378,0.15%,1695
283,Ambipom,0.04%,18470,0.48%,14286,0.48%,1695
284,Bibarel,0.04%,3153,0.08%,2295,0.08%,1695
285,Drampa,0.03%,5905,0.15%,4275,0.14%,1695
286,Gumshoos,0.03%,3168,0.08%,2330,0.08%,1695
287,Palossand,0.03%,5554,0.14%,4292,0.15%,1695
288,Rhydon,0.03%,5983,0.16%,4594,0.16%,1695
289,Regigigas,0.03%,4120,0.11%,3160,0.11%,1695
290,Klinklang,0.03%,4383,0.11%,3179,0.11%,1695
291,Silvally,0.03%,5592,0.15%,4568,0.15%,1695
292,Samurott,0.03%,6559,0.17%,4913,0.17%,1695
293,Purugly,0.03%,1994,0.05%,1421,0.05%,1695
294,Electrode,0.03%,7705,0.20%,6518,0.22%,1695
295,Drapion,0.03%,17211,0.45%,12677,0.43%,1695
296,Virizion,0.03%,4370,0.11%,3221,0.11%,1695
297,Scrafty,0.03%,15623,0.40%,11428,0.39%,1695
298,Zebstrika,0.03%,3805,0.10%,2825,0.10%,1695
299,Golduck,0.03%,4787,0.12%,3509,0.12%,1695
300,Archeops,0.03%,6587,0.17%,5139,0.17%,1695
301,Sharpedo,0.03%,8173,0.21%,5915,0.20%,1695
302,Noctowl,0.03%,2915,0.08%,2164,0.07%,1695
303,Cacturne,0.03%,4388,0.11%,3222,0.11%,1695
304,Stoutland,0.03%,6560,0.17%,4722,0.16%,1695
305,Ninjask,0.03%,7643,0.20%,5626,0.19%,1695
306,Dusclops,0.03%,12994,0.34%,10274,0.35%,1695
307,Emolga,0.03%,5400,0.14%,4413,0.15%,1695
308,Exeggutor,0.03%,7322,0.19%,5390,0.18%,1695
309,Vileplume,0.03%,8481,0.22%,6253,0.21%,1695
310,Poliwrath,0.03%,7391,0.19%,5380,0.18%,1695
311,Charizard,0.03%,12075,0.31%,9045,0.31%,1695
312,Tangela,0.03%,2934,0.08%,2264,0.08%,1695
313,Hitmontop,0.03%,9879,0.26%,7731,0.26%,1695
314,Komala,0.03%,6854,0.18%,4944,0.17%,1695
315,Medicham,0.03%,4411,0.11%,3242,0.11%,1695
316,Jellicent,0.03%,10460,0.27%,7776,0.26%,1695
317,Regice,0.03%,7478,0.19%,5472,0.19%,1695
318,Sawsbuck,0.03%,4911,0.13%,3404,0.12%,1695
319,Gligar,0.03%,5072,0.13%,4070,0.14%,1695
320,Vanilluxe,0.03%,3977,0.10%,2942,0.10%,1695
321,Delphox,0.03%,9748,0.25%,7229,0.24%,1695
322,Trevenant,0.03%,13400,0.35%,9939,0.34%,1695
323,Spiritomb,0.02%,7991,0.21%,5932,0.20%,1695
324,Durant,0.02%,8350,0.22%,6132,0.21%,1695
325,Zangoose,0.02%,7589,0.20%,5325,0.18%,1695
326,Mudsdale,0.02%,9294,0.24%,7541,0.25%,1695
327,Toucannon,0.02%,3581,0.09%,2579,0.09%,1695
328,Eelektross,0.02%,16981,0.44%,13299,0.45%,1695
329,Sableye,0.02%,11131,0.29%,8712,0.29%,1695
330,Guzzlord,0.02%,4599,0.12%,3268,0.11%,1695
331,Pangoro,0.02%,5631,0.15%,4127,0.14%,1695
332,Miltank,0.02%,8991,0.23%,6626,0.22%,1695
333,Braviary,0.02%,7934,0.21%,5693,0.19%,1695
334,Piloswine,0.02%,2312,0.06%,1900,0.06%,1695
335,DugtrioAlola,0.02%,3759,0.10%,2985,0.10%,1695
336,Shiinotic,0.02%,3693,0.10%,2722,0.09%,1695
337,Bewear,0.02%,7888,0.20%,5610,0.19%,1695
338,Steelix,0.02%,8010,0.21%,6540,0.22%,1695
339,Jynx,0.02%,3903,0.10%,2843,0.10%,1695
340,Raichu,0.02%,8333,0.22%,6023,0.20%,1695
341,Masquerain,0.02%,5591,0.15%,4710,0.16%,1695
342,Aurorus,0.02%,5364,0.14%,3899,0.13%,1695
343,Turtonator,0.02%,5067,0.13%,3735,0.13%,1695
344,Mismagius,0.02%,8754,0.23%,6361,0.22%,1695
345,Lilligant,0.02%,5722,0.15%,3925,0.13%,1695
346,Gogoat,0.02%,3469,0.09%,2457,0.08%,1695
347,Clawitzer,0.02%,5594,0.15%,4192,0.14%,1695
348,Gorebyss,0.02%,2228,0.06%,1535,0.05%,1695
349,Carbink,0.02%,3160,0.08%,2736,0.09%,1695
350,Primeape,0.02%,5636,0.15%,4157,0.14%,1695
351,Luxray,0.02%,10554,0.27%,7635,0.26%,1695
352,Leafeon,0.02%,8105,0.21%,5854,0.20%,1695
353,SilvallyPoison,0.02%,403,0.01%,280,0.01%,1695
354,Golem,0.02%,6533,0.17%,5375,0.18%,1695
355,Sunflora,0.02%,2535,0.07%,1924,0.07%,1695
356,Magmortar,0.01%,7631,0.20%,5576,0.19%,1695
357,Pachirisu,0.01%,1929,0.05%,1492,0.05%,1695
358,Kecleon,0.01%,5988,0.16%,4565,0.15%,1695
359,Kingler,0.01%,4956,0.13%,3571,0.12%,1695
360,Delcatty,0.01%,1833,0.05%,1352,0.05%,1695
361,Liepard,0.01%,7940,0.21%,6010,0.20%,1695
362,Granbull,0.01%,3424,0.09%,2628,0.09%,1695
363,Leavanny,0.01%,4980,0.13%,4045,0.14%,1695
364,Lurantis,0.01%,8695,0.23%,6348,0.21%,1695
365,Chimecho,0.01%,1713,0.04%,1159,0.04%,1695
366,Farfetch'd,0.01%,3692,0.10%,2623,0.09%,1695
367,Articuno,0.01%,6405,0.17%,4601,0.16%,1695
368,Swirlix,0.01%,273,0.01%,215,0.01%,1695
369,Mr.Mime,0.01%,3650,0.09%,2670,0.09%,1695
370,Cryogonal,0.01%,4844,0.13%,3658,0.12%,1695
371,Simipour,0.01%,1049,0.03%,817,0.03%,1695
372,Scyther,0.01%,6824,0.18%,4868,0.16%,1695
373,Porygon,0.01%,256,0.01%,188,0.01%,1695
374,Probopass,0.01%,3224,0.08%,2548,0.09%,1695
375,Regirock,0.01%,4518,0.12%,3550,0.12%,1695
376,Aron,0.01%,4128,0.11%,3009,0.10%,1695
377,Passimian,0.01%,3232,0.08%,2348,0.08%,1695
378,Wishiwashi,0.01%,2536,0.07%,1878,0.06%,1695
379,Golurk,0.01%,7483,0.19%,5842,0.20%,1695
380,Escavalier,0.01%,6497,0.17%,4793,0.16%,1695
381,Spritzee,0.01%,101,0.00%,73,0.00%,1695
382,Beartic,0.01%,4990,0.13%,3502,0.12%,1695
383,Combusken,0.01%,1894,0.05%,1423,0.05%,1695
384,Bellossom,0.01%,2504,0.07%,1729,0.06%,1695
385,LycanrocMidnight,0.01%,8124,0.21%,5714,0.19%,1695
386,Wigglytuff,0.01%,2652,0.07%,2002,0.07%,1695
387,Arbok,0.01%,4311,0.11%,3162,0.11%,1695
388,Musharna,0.01%,2743,0.07%,1957,0.07%,1695
389,Carracosta,0.01%,5069,0.13%,3831,0.13%,1695
390,Heatmor,0.01%,1691,0.04%,1304,0.04%,1695
391,Ariados,0.01%,4522,0.12%,3841,0.13%,1695
392,Flareon,0.01%,6542,0.17%,4908,0.17%,1695
393,Dodrio,0.01%,4117,0.11%,2893,0.10%,1695
394,Hariyama,0.01%,4486,0.12%,3434,0.12%,1695
395,RotomFan,0.01%,1447,0.04%,1140,0.04%,1695
396,Hitmonchan,0.01%,6441,0.17%,4843,0.16%,1695
397,Bruxish,0.01%,2651,0.07%,1885,0.06%,1695
398,Absol,0.01%,4468,0.12%,3228,0.11%,1695
399,Solrock,0.01%,1188,0.03%,939,0.03%,1695
400,Seaking,0.01%,2109,0.06%,1586,0.05%,1695
401,Nosepass,0.01%,1174,0.03%,911,0.03%,1695
402,RotomFrost,0.01%,2549,0.07%,1861,0.06%,1695
403,Garbodor,0.01%,2820,0.07%,2191,0.07%,1695
404,SilvallySteel,0.01%,2543,0.07%,1920,0.07%,1695
405,Maractus,0.01%,2015,0.05%,1500,0.05%,1695
406,Unfezant,0.01%,2371,0.06%,1714,0.06%,1695
407,Clamperl,0.01%,1386,0.04%,984,0.03%,1695
408,Butterfree,0.01%,3840,0.10%,2847,0.10%,1695
409,Sawk,0.01%,4912,0.13%,3498,0.12%,1695
410,Seviper,0.01%,2262,0.06%,1613,0.05%,1695
411,Type:Null,0.01%,2368,0.06%,1755,0.06%,1695
412,Dedenne,0.01%,2652,0.07%,1921,0.07%,1695
413,Chatot,0.01%,4117,0.11%,3188,0.11%,1695
414,Whiscash,0.01%,2001,0.05%,1457,0.05%,1695
415,Gallade,0.01%,5377,0.14%,3746,0.13%,1695
416,GourgeistSuper,0.01%,3411,0.09%,2647,0.09%,1695
417,Kangaskhan,0.01%,1958,0.05%,1474,0.05%,1695
418,Floatzel,0.01%,4593,0.12%,3389,0.11%,1695
419,SilvallyGround,0.01%,1178,0.03%,942,0.03%,1695
420,Rapidash,0.01%,4416,0.11%,3254,0.11%,1695
421,Skitty,0.01%,210,0.01%,168,0.01%,1695
422,Drifblim,0.01%,6556,0.17%,4458,0.15%,1695
423,Simisear,0.01%,938,0.02%,698,0.02%,1695
424,Corsola,0.01%,1443,0.04%,1117,0.04%,1695
425,Ledian,0.01%,725,0.02%,560,0.02%,1695
426,Dugtrio,0.01%,4309,0.11%,3258,0.11%,1695
427,Sudowoodo,0.01%,1648,0.04%,1235,0.04%,1695
428,Glaceon,0.01%,5000,0.13%,3528,0.12%,1695
429,Meganium,0.01%,3850,0.10%,2820,0.10%,1695
430,Simisage,0.01%,1376,0.04%,979,0.03%,1695
431,Taillow,0.01%,988,0.03%,619,0.02%,1695
432,Scraggy,0.01%,216,0.01%,156,0.01%,1695
433,Raticate,0.01%,2434,0.06%,1695,0.06%,1695
